"File","hc.nm.","Pmax.µN.","S.µN.nm.","A.nm.2.","hmax.nm.","heff.nm.","Er.GPa.","E.GPa.","H.GPa.","A","hf.nm.","m","X.mm.","Y.mm.","Drift.nm.s.","Feature","Orientation","Protein","Sample","Species","Region","Thickness","Prism","IPM"
"Grid_Position 226 0000 DC.hys",328.328565,15925.75958,185.067331,3450758.321,392.430381,392.868965,88.268819,89.65372856,4.615148,4.106267,249.635601,1.664462,-65.596003,-0.4165,-0.12789,"T","Perp",2.301333333,"001-1","Colobus tephrosceles","BuccalCusp","Middle",4.281,1.123
"Grid_Position 226 0002 DC.hys",344.553478,14288.9501,188.948018,3768763.81,400.560409,401.271261,86.233837,87.41873065,3.791416,1.870566,263.914202,1.816323,-65.576003,-0.416,0.056812,"S","Obl",2.301333333,"001-1","Colobus tephrosceles","BuccalCusp","Middle",4.281,1.123
"Grid_Position 226 0003 DC.hys",336.041429,15843.49702,187.388583,3600273.252,398.582255,399.453098,87.500437,88.80881399,4.400637,3.818876,257.350344,1.680717,-65.566003,-0.416,-0.062738,"B","Obl",2.301333333,"001-1","Colobus tephrosceles","BuccalCusp","Middle",4.281,1.123
"Grid_Position 226 0004 DC.hys",327.906009,16305.9018,196.356464,3442653.781,389.777288,390.18777,93.763402,95.73152458,4.736434,1.744505,238.916713,1.821613,-65.555503,-0.416,-0.10049,"H","Obl",2.301333333,"001-1","Colobus tephrosceles","BuccalCusp","Middle",4.281,1.123
"Grid_Position 226 0005 DC.hys",332.322178,15184.16802,191.40074,3527800.24,391.565187,391.821039,90.287255,91.87906072,4.304146,1.263665,242.878588,1.877462,-65.545503,-0.416,-0.112586,"T","Obl",2.301333333,"001-1","Colobus tephrosceles","BuccalCusp","Middle",4.281,1.123
"Grid_Position 226 0006 DC.hys",338.316884,15441.49768,185.39135,3644956.636,400.212924,400.785404,86.035584,87.20145009,4.236401,1.253776,245.328554,1.866422,-65.535503,-0.416,-0.076837,"T","Obl",2.301333333,"001-1","Colobus tephrosceles","BuccalCusp","Middle",4.281,1.123
"Grid_Position 226 0007 DC.hys",329.353211,15959.17348,185.852724,3470448.279,393.239298,393.755711,88.391595,89.78884701,4.598591,1.683964,238.003188,1.813818,-65.596003,-0.4055,-0.049583,"H","Perp",2.301333333,"001-1","Colobus tephrosceles","BuccalCusp","Middle",4.281,1.123
"Grid_Position 226 0008 DC.hys",333.507255,12578.81714,161.23918,3550816.79,392.274099,392.017308,75.81258,76.10632227,3.542514,0.153102,220.43003,2.199459,-65.585503,-0.406,-0.046883,"H","Perp",2.301333333,"001-1","Colobus tephrosceles","BuccalCusp","Middle",4.281,1.123
"Grid_Position 226 0009 DC.hys",328.391783,15695.44147,184.432027,3451971.605,391.55898,392.217905,87.950347,89.30338721,4.546805,2.512593,243.520603,1.747294,-65.576003,-0.406,-0.066854,"IPM","Obl",2.301333333,"001-1","Colobus tephrosceles","BuccalCusp","Middle",4.281,1.123
"Grid_Position 226 0010 DC.hys",329.993663,15936.06507,193.804661,3482782.349,390.831891,391.664259,92.010179,93.78532878,4.575671,2.806802,248.477859,1.741345,-65.566003,-0.406,-0.070557,"T","Para",2.301333333,"001-1","Colobus tephrosceles","BuccalCusp","Middle",4.281,1.123
"Grid_Position 226 0011 DC.hys",337.206931,15496.03555,188.920598,3623127.729,398.142443,398.72498,87.937136,89.28885874,4.276977,2.434862,254.264365,1.761198,-65.556003,-0.406,-0.090058,"T","Obl",2.301333333,"001-1","Colobus tephrosceles","BuccalCusp","Middle",4.281,1.123
